,CR,EV,PE,LA,CA,R^2
0,0.161,0.0,0.265,0.41,0.0,0.5342361380360994
1,0.171,0.0,0.0,0.388,0.0,0.4514641078031142
2,0.0,-0.137,-0.135,0.725,0.0,0.6668407653354828
3,0.097,0.0,0.043,0.0,0.665,0.5035127100140936
4,0.252,0.0,0.0,0.0,0.047,0.6418394389730349
5,0.0,0.457,0.432,0.0,0.022,0.5021249021400205
6,-0.071,-0.032,0.0,0.198,0.0,0.39446180379284534
7,0.0,-0.033,0.155,0.562,0.0,0.7781990720890394
8,-0.14,0.254,0.207,0.576,-0.44,0.6095358671674931
9,0.0,0.0,0.20800000000000002,0.323,0.0,0.5137209457761907
10,-0.072,0.0,0.025999999999999995,1.005,0.0,0.6692502769650792
11,0.0,0.0,0.051,0.597,0.627,0.6359622699246958
12,0.0,-0.162,0.0,0.415,0.0,0.4163420845529381
13,0.297,-0.099,0.074,-0.107,0.123,0.9235813906316694
14,-0.022,0.048,0.072,0.824,0.0,0.7740802034883602
15,0.024,0.0,0.01,0.778,0.0,0.49600390673943284
16,-0.169,-0.125,0.0,0.0,0.0,0.7573135458731093
17,0.0,0.03,0.023999999999999997,0.727,0.2,0.9280187418455211
18,0.0,0.081,0.173,0.0,0.0,0.37537504726772564
19,0.03,-0.002999999999999999,0.0,0.0,1.53,0.6458164390509215
20,0.077,0.045,0.058,0.333,-1.673,0.5864354903402341
21,0.384,0.092,0.081,0.0,0.0,0.3447163378040312
22,-0.007,0.0,0.008,0.582,0.0,0.46991595396349795
23,0.0,0.0,0.0,0.38,0.0,0.26920362573802614
24,-0.056,-0.037,0.0,0.0,0.29,0.6157371091836707
25,-0.015,-0.079,0.0,0.0,0.319,0.687274599291605
26,0.0,0.095,0.103,0.0,0.415,0.6571059861330355
27,-0.172,-0.025,0.016,0.0,1.146,0.7476579564318484
28,-0.194,0.43000000000000005,0.1,0.541,0.0,0.8636811959234567
29,0.155,0.06700000000000002,0.078,0.458,0.307,0.7044101596945671
30,-0.18100000000000005,0.0,0.038,0.342,0.191,0.865927202980586
31,0.0,0.0,-0.022,0.0,0.828,0.5727724961880805
32,0.031,-0.124,-0.063,0.373,0.0,0.4465220520359007
33,-0.107,-0.066,0.379,0.0,0.217,0.9557727758204465
34,0.0,0.06,0.41,0.449,0.0,0.8833934061377063
35,0.0,0.067,0.072,0.314,0.0,0.643659568985125
36,0.051,0.0,0.0,1.256,0.0,0.8787100094598619
37,-0.207,-0.055,0.023999999999999994,0.285,-0.366,0.6752182563605024
38,0.059,0.258,0.08900000000000001,0.194,0.056,0.90515419262878
39,-0.046,0.0,0.1,0.372,0.0,0.741229407712921
40,0.0,0.087,0.075,0.625,0.0,0.6631244517914779
41,0.0,0.045,0.0,0.0,0.249,0.27459789674089186
42,0.156,0.0,0.0,0.0,0.203,0.5285987252784461
43,0.217,0.0,0.193,0.0,0.143,0.644901139857684
44,0.08,0.019,0.025,0.0,0.401,0.5533822384828233
45,-0.022,0.0,0.0,0.0,1.525,0.5466981730860374
46,0.031,0.0,0.057,0.0,2.307,0.6738121080618185
47,0.026,-0.051,0.0,0.0,2.264,0.7869379738202895
48,0.0,0.164,-0.072,0.652,0.0,0.8126737983055771
49,0.0,-0.026,-0.013,0.0,2.728,0.524094261049102
50,-0.02899999999999997,0.0,0.223,0.708,0.0,0.8582136627768316
51,0.0,0.0,0.36,0.652,-0.021,0.743534268162408
52,0.048,0.066,-0.022,0.0,0.499,0.7293128296836431
53,0.144,-0.06,0.28,0.561,0.0,0.7296763886749896
54,0.235,0.189,0.016000000000000014,0.0,0.092,0.722515014947206
55,0.231,0.045,0.081,0.469,0.0,0.6953655951455253
56,-0.015,0.0,0.019,0.564,0.7,0.9311023861811758
57,0.0,0.0,0.062,0.529,0.206,0.6595075075526121
58,-0.007000000000000006,0.042,0.036,0.452,0.0,0.7847536070776978
59,0.049,0.0,0.054000000000000006,0.0,0.759,0.499968843421722
60,0.046,-0.018,0.0,0.177,0.0,0.3042815319933472
61,0.0,-0.056,0.0,0.449,0.0,0.46132607120373037
62,-0.508,-0.05,-0.012,0.0,0.0,0.9037790629461077
63,0.07100000000000001,0.085,0.076,0.0,0.127,0.5445414344255344
64,-0.03,-0.04,0.072,0.0,0.573,0.6380543022995291
65,0.0,0.083,0.0,0.0,0.102,0.5570532593937206
66,0.0,-0.392,0.0,0.0,0.497,0.5769952581814413
67,0.0,0.303,0.412,0.0,0.036,0.8457113687665756
68,0.0,-0.17,-0.088,0.0,0.247,0.5595730564014747
69,0.0,0.0,0.523,0.392,0.024,0.8959914355406474
70,0.08299999999999999,0.0,0.0,-0.139,0.144,0.48059818253465514
71,-0.073,0.0,-0.014,0.0,4.362,0.5797421912118499
72,0.0,0.0,0.13899999999999998,0.0,0.245,0.8609444945823816
73,0.0,-0.031,0.04,0.0,0.79,0.49893964539180413
74,0.0,0.029,0.134,0.0,0.154,0.8257201618092107
75,-0.41,0.214,0.669,0.243,-0.026,0.8592233485868328
76,0.097,0.084,0.156,0.0,0.082,0.8789008920250321
77,0.015,0.06,0.056,0.683,0.0,0.6450768113096048
78,0.0,0.071,0.035,0.393,0.0,0.3133030328255001
79,-0.056,0.0,0.01,0.0,5.469,0.5732381845835806
80,0.087,0.053,-0.04000000000000001,0.512,0.0,0.5781968253455018
81,0.0,0.0,0.142,0.0,0.0,0.4482996571861939
82,0.022,0.016,0.003999999999999999,0.0,0.0,0.42135149251276993
83,0.0,0.0,0.0,0.0,0.646,0.13084881967509654
84,0.0,-0.143,0.0,-0.147,0.18,0.46779115011026307
85,0.0,0.098,0.091,0.0,0.0,0.2546933580129819
86,-0.048,-0.181,0.161,0.0,0.134,0.8820541696590035
87,0.035,-0.024000000000000007,0.0,0.204,-0.134,0.17465416890108
88,0.096,0.0,0.0,0.0,0.6,0.4929643251282173
89,0.219,0.0,0.125,0.726,-0.068,0.6992081333690809
90,0.0,0.0,0.052000000000000005,0.505,0.0,0.5061290656448678
91,0.0,0.028,0.026,0.639,2.338,0.8315434996890892
92,0.148,0.0,0.0,0.338,-0.207,0.3576620095076527
93,0.0,0.0020000000000000018,0.041,0.787,-1.659,0.6112991522050502
94,0.093,0.041,0.053,0.196,-1.013,0.7042066472752198
95,-0.066,0.155,0.0,1.079,0.0,0.9024118242924313
96,0.115,0.142,-0.041999999999999996,0.488,0.106,0.852649616540538
97,0.0,0.0,0.287,0.601,0.0,0.6558268778547462
98,0.0,0.0,0.0,0.0,0.036,0.970678828909812
99,0.0,0.0,0.055,0.645,0.0,0.32725720985207185
100,-0.421,0.099,0.18,0.0,0.096,0.7438617908226366
101,0.0,0.0,0.0,0.792,-13.951,0.2604368508668945
102,0.165,0.076,0.084,0.0,0.263,0.761163918033459
103,0.0,0.05,0.0,0.642,0.0,0.4805292188701711
104,0.0,0.0,0.043,0.643,0.0,0.2905011635550736
105,0.0,0.10300000000000001,0.05099999999999999,0.158,-0.124,0.6174563805513824
106,0.232,0.0,0.067,0.0,0.153,0.31177991457026943
107,0.0,-0.159,0.0,0.0,0.042,0.3714809928523255
108,0.318,0.088,0.181,0.0,0.086,0.5290344102132318
109,-0.166,0.0,0.109,0.514,-0.128,0.7946331602013039
110,0.0,0.041,0.029,0.897,0.0,0.6778430497929948
111,0.0,0.097,0.279,0.339,0.0,0.6546895326072277
112,0.381,0.0,0.109,0.0,0.067,0.7193988929072739
113,0.0,-0.013,0.0,0.705,0.842,0.8338582356688324
114,0.297,0.108,0.0,0.0,0.0,0.41756181274648885
115,0.0,0.401,0.0,0.374,0.0,0.7006973700337458
116,-0.446,0.155,0.138,0.0,0.141,0.8699847241838886
117,0.232,0.151,0.091,0.326,0.0,0.7792982455945108
118,0.0,0.142,0.497,0.0,0.016,0.7380361513324034
119,0.183,-0.095,0.09,0.0,0.164,0.6426038659652058
120,0.134,0.047999999999999994,0.065,0.0,0.097,0.7099669775823665
121,0.306,0.0,0.117,0.0,0.0,0.1820417481394152
122,0.076,0.0,0.068,0.495,0.189,0.7920121707585334
123,0.0,0.099,0.025,0.0,0.252,0.7346963530284818
124,0.0049999999999999975,0.016,0.0,0.83,0.0,0.7278753704604279
125,0.0,0.0,0.0,0.0,0.176,0.18143005534268652
126,0.114,-0.066,0.0,0.0,0.324,0.5593916940261924
127,0.0,-0.028999999999999998,0.0,0.0,0.0,-0.076995706083691
128,0.0,0.084,-0.074,0.0,0.67,0.6960676770739185
129,0.035,-0.125,0.203,0.0,-0.159,0.9444528871634137
130,0.0,0.0,0.113,0.0,0.517,0.6949736073754629
131,0.065,0.0,0.074,0.0,0.251,0.33676924232043803
132,0.306,-0.15,0.42200000000000004,0.691,0.0,0.8731074227803628
133,0.0,0.0,0.0,0.647,0.0,0.4687119286839043
134,-0.5049999999999999,0.04,-0.027,0.509,0.743,0.7587868224061779
135,0.0,0.163,-0.153,0.621,0.0,0.4718350757763038
136,0.335,0.022,0.086,0.0,0.029,0.6499296930635678
137,0.224,0.066,0.143,-0.121,0.077,0.9163035684923206
138,0.0,0.0,-0.025000000000000022,0.0,0.105,0.5836945109850242
139,0.145,-0.094,0.132,0.387,0.118,0.8348711900626032
140,0.056,-0.041,0.124,0.356,0.0,0.5425190986381783
141,0.0,-0.175,0.085,0.0,0.0,0.4713595618368154
142,0.104,0.0,0.0,0.0,0.037,0.5503670656757502
143,0.0,0.08,0.182,0.475,0.0,0.8697792930943136
144,0.0,0.0,0.089,0.0,0.066,0.5494509228230076
145,0.0,0.054,0.0,0.0,0.0,0.018001330365634893
146,0.086,0.0,0.101,0.9,0.0,0.864959018659253
147,0.172,0.0,0.0,0.502,0.128,0.6417360935795151
148,0.069,0.072,-0.035,0.413,1.217,0.8588611261001893
149,0.0,0.161,0.103,0.325,0.0,0.8181000904629102
150,0.0,0.0,0.574,0.0,0.012,0.5336943659715456
151,-0.425,0.104,0.314,0.464,-0.083,0.8309019713431031
152,0.0,0.043,0.021,0.796,0.0,0.7531395064657096
153,0.0,-0.08699999999999997,-0.036000000000000004,0.0,0.0,0.36323891552875875
154,0.114,0.0,-0.055,0.536,0.0,0.44371420278597007
155,0.122,-0.13,0.0,0.601,0.436,0.9325132655129076
156,0.252,-0.21,0.10099999999999999,0.454,0.026,0.826130844487911
157,0.0,0.0,0.122,0.253,-0.052,0.42910788970597735
158,0.0,-0.067,0.038,0.0,0.106,0.5195642154635063
159,0.171,0.0,0.10700000000000001,0.639,0.0,0.7298882281772969
160,0.059,0.0,0.0,0.0,15.808,0.8659194549239452
161,0.0,0.02,0.02,0.0,-0.686,0.24650107425188816
162,-0.069,0.128,0.045,0.557,0.124,0.932877652630681
163,-1.409,0.107,0.09099999999999998,0.0,0.0,0.5842519445640936
164,0.0,-0.175,0.391,0.716,0.0,0.8292983601031579
165,0.0,0.169,0.0,0.716,0.0,0.7875591405857798
166,0.374,0.055,0.2,0.694,0.0,0.8689641317703576
167,0.0,-0.104,0.227,0.636,-0.016,0.8596994263270273
168,-0.822,0.0,0.591,0.626,0.0,0.633148408023555
169,-0.08,-0.066,-0.055,0.679,-0.941,0.6646248054345834
170,0.0,0.002,0.004,0.812,0.0,0.748811346825366
171,0.0,-0.037,0.0,0.0,0.841,0.2211272013503921
172,0.0,0.0,-0.025,0.583,0.0,0.37897259947692785
173,0.0,0.156,0.0,0.0,0.156,0.7388050231796599
174,0.0,0.424,0.0,0.793,0.0,0.44143517592218107
175,-0.034,0.0,0.095,0.0,0.233,0.616709362293707
176,0.014,0.0,0.005,0.486,7.596,0.8814100360122463
177,0.0,0.312,-0.126,0.446,0.0,0.35533446221342313
178,0.035,-0.027,0.041,0.0,2.866,0.8205554003190962
179,0.0,0.0,0.0,0.909,0.0,0.5409466566491359
180,0.157,0.0,0.027,0.241,0.0,0.6707486002788279
181,0.0,-0.018,0.026,0.826,0.0,0.8117721801504567
182,0.0,-0.157,0.0,0.662,-0.055,0.3446511286512095
183,-0.088,0.16200000000000003,0.0,0.204,0.0,0.3347376520943218
184,-0.124,0.0,0.0,1.052,0.0,0.6068488027013079
185,0.128,0.34099999999999997,0.16500000000000004,0.258,0.0,0.706846725197447
186,0.017,-0.011,0.002,0.889,0.0,0.7974554368567488
187,0.49,0.0,0.369,0.708,0.0,0.6846537295032555
188,-0.287,0.069,0.053,0.0,0.04,0.5231767921023658
189,0.167,0.085,0.0,0.0,0.51,0.6349525359495705
190,0.147,0.04,0.051,0.0,0.0,0.813105225238015
191,0.0,-0.011,0.0,1.143,0.0,0.7107716053177526
192,0.0,0.0,0.027,1.072,0.0,0.8444534803456791
193,0.0,0.0,0.036,0.778,0.0,0.5072701963786364
194,0.266,-0.03,0.0,0.999,0.0,0.6995848588841616
195,0.0,0.0,0.0,0.0,4.064,0.2757221888409548
196,0.21200000000000002,0.0,0.279,0.0,0.222,0.6977912615405877
197,0.0,0.0,0.081,0.29,0.0,0.24435824509964166
198,0.15,0.019,0.0,0.0,9.25,0.7651313153757173
199,0.014,0.0,-0.020999999999999998,0.0,2.024,0.47544355171833574
200,0.0,-0.055,0.0,0.356,0.0,0.4127592253930281
201,0.095,0.0,0.128,0.0,0.166,0.6691541941591065
202,0.0,0.362,0.261,0.0,0.031,0.46918267890546506
203,0.315,0.061,0.104,0.501,0.098,0.6648507202487289
204,-0.028,-0.036,-0.021,0.266,0.0,0.8427988896397105
205,-0.049,0.0,0.013,0.158,0.199,0.7629197340005128
206,0.0,-0.138,0.154,0.558,0.0,0.53486959503107
207,0.0,0.0,0.102,0.0,0.756,0.7743133846529073
208,0.113,0.0,-0.024,0.304,0.0,0.572471077495561
209,-0.039,0.022,0.013,0.346,0.0,0.5530697082445546
210,0.019,0.049,0.0,0.477,0.0,0.6368635282274575
211,0.0,0.0,0.196,0.0,0.135,0.7443009269277647
212,-0.437,0.0,-0.166,0.0,0.0,0.3199920127247038
213,0.063,0.0,-0.01,0.0,4.92,0.47356211560061967
214,0.0,0.0,0.0,0.833,0.0,0.5209413083064856
215,-0.081,0.0,0.039,-0.522,0.0,0.5215254207567422
216,0.133,0.013000000000000012,0.083,0.416,0.0,0.5462147725293374
217,-0.10999999999999999,0.0,0.038,0.288,-0.446,0.5080587375944173
218,0.0,-0.038,0.215,0.595,0.0,0.7535755094040086
219,0.0,0.0,0.043,0.0,0.0,0.6182245559269123
220,0.0,0.133,0.054,0.885,0.0,0.5181032721313582
221,0.0,0.161,0.0,0.0,0.245,0.49561489386474766
222,0.0,0.058,0.0,0.0,0.095,0.16506125953382955
223,0.0,0.0,0.193,0.0,0.0,-0.03000883771271945
224,-0.179,0.031000000000000014,0.07299999999999998,0.724,0.0,0.6830816697656972
225,0.077,0.0,0.198,0.0,0.108,0.7377181791942027
226,0.128,0.127,0.103,0.556,0.0,0.7923156934719398
227,-0.055,0.022,0.025,0.639,0.0,0.7513223261038776
228,-0.03,0.0,0.0,0.53,3.24,0.8207190208472545
229,0.0,0.0,0.104,0.622,0.0,0.7965350516879663
230,0.113,0.042,0.078,0.776,-0.817,0.5528167182240193
231,0.258,-0.179,0.0,0.434,0.0,0.7616811513781053
232,0.137,0.0,0.0,0.764,0.0,0.5889808853123741
233,0.226,0.063,0.21900000000000003,0.342,0.0,0.7312192458079702
234,0.086,-0.18,-0.073,0.0,0.174,0.7223215218409402
235,0.0,0.169,0.11299999999999999,0.35,-0.026,0.5217497408252134
236,0.0,0.044,0.087,0.0,0.146,0.40282613362411723
237,0.0,0.0,0.0,0.626,0.0,0.19849100116662532
238,0.056,0.07600000000000001,0.026999999999999996,0.195,0.0,0.5444922609814705
239,-0.582,-0.107,0.0,0.376,0.0,0.6310237675761067
240,0.0,0.0,0.102,0.77,0.0,0.7615438040269414
241,0.036,0.075,0.0,0.203,0.0,0.4850254109514198
242,0.318,0.14999999999999997,0.11000000000000001,0.435,0.0,0.7560875673247281
243,0.249,0.0,0.096,0.0,0.4,0.6549807596863182
244,0.044,-0.034,0.038000000000000006,0.589,1.283,0.821357180252285
245,0.0,0.0,0.0,0.686,0.109,0.8848072974607117
246,0.126,0.224,0.208,0.0,0.054,0.8237874850573216
247,0.269,-0.225,0.0,0.0,0.0,0.46191984539514686
248,0.834,-0.036,0.0,0.0,0.424,0.9182266581011735
249,0.163,0.053,0.05300000000000002,0.449,0.0,0.6155020480328859
250,0.139,0.0,0.129,0.0,0.0,0.25716921835668183
251,0.0,0.196,0.19899999999999995,0.579,0.0,0.729184667840495
252,0.034999999999999996,0.0,0.0,0.365,0.0,0.34206606337513656
