,CR,EV,PE,R^2
0,0.119,0.096,0.128,0.3072883599732058
1,0.201,0.0,-0.013000000000000005,0.25133867487009043
2,0.14,-0.09,-0.15600000000000003,0.37387540045947687
3,-0.0010000000000000009,-0.03,0.029999999999999992,0.29402121056841046
4,0.333,0.0,-0.02500000000000001,0.5252084376024198
5,0.07800000000000001,0.536,0.52,0.4901747447912046
6,-0.07700000000000001,-0.02,0.005000000000000001,0.3570773162665025
7,0.017,-0.059,0.185,0.5966190213275447
8,-0.166,0.325,0.221,0.5189201936584252
9,-0.028999999999999998,-0.053,0.27,0.49931452228572126
10,-0.026,0.06,0.06999999999999999,0.2901691673034055
11,-0.056,0.034,0.0,0.13824139273317848
12,-0.078,-0.167,-0.014000000000000005,0.3873894696900757
13,0.38,-0.095,0.072,0.806977983769513
14,0.115,0.091,0.119,0.5687313948122128
15,0.01,0.017,-0.008999999999999998,0.2125628986256538
16,-0.17,-0.139,-0.0030000000000000027,0.7610514283816483
17,-0.153,-0.0020000000000000018,0.053,0.2796811050550766
18,0.376,0.069,0.198,0.41249915569073337
19,0.014000000000000002,0.002999999999999999,-0.009999999999999998,0.32579954529175126
20,0.078,0.045,0.057,0.3765729915168802
21,0.364,0.09,0.07899999999999999,0.3647718595760362
22,-0.01,0.005000000000000001,-0.003999999999999999,0.11419246528208071
23,0.568,-0.0020000000000000018,0.018000000000000002,0.30563697693321634
24,-0.0050000000000000044,-0.044,0.016,0.027217406286370815
25,-0.017,-0.10400000000000001,-0.012,0.6042660713633299
26,0.102,0.091,0.151,0.4331487247520679
27,-0.192,-0.023,0.017,0.5697410760258907
28,-0.29700000000000004,0.542,0.138,0.7647800294677656
29,-0.052000000000000046,0.083,0.0,0.5175154002537228
30,-1.479,0.025,0.032,0.6128066602807245
31,-0.081,-0.065,-0.034,0.20881069828205345
32,0.037000000000000005,-0.148,-0.082,0.39978380447891837
33,-0.177,0.07700000000000001,0.5209999999999999,0.5889348260442462
34,0.033,0.101,0.47500000000000003,0.7246685803633384
